Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ads_remove,7700,1,ÅÂÅÂµµ,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,15,ÀÀ¾ÆÄÚ,329,GooglePlay,2025-07-17,317900,133
Order Complete (App),,ads_remove,7700,3,À¯¿øÁö½º½Å,55,GooglePlay,2025-07-29,0,8791
Order Complete (App),,ruby_2,6600,3,ÃÊÀÎ°í¾çÀÌ,186,GooglePlay,2025-07-29,134200,2510
Order Complete (App),,ruby_3,11000,15,ÀÀ¾ÆÄÚ,329,GooglePlay,2025-07-17,306900,133
Order Complete (App),,ruby_2,6600,3,ÃÊÀÎ°í¾çÀÌ,186,GooglePlay,2025-07-29,127600,2510
Order Complete (App),,ruby_4,33000,8,¼Ò¾È,250,GooglePlay,2025-07-24,84700,2023
Order Complete (App),,ruby_4,33000,6,yad,286,GooglePlay,2025-07-26,207900,384
Order Complete (App),,ads_remove,7700,1,±â¹Í365,2,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_3,11000,16,¹ÚÁø¼®,273,GooglePlay,2025-07-16,117700,464
Order Complete (App),,ads_remove,7700,1,²Ï¶ß°Ì½À´Ï´Ù,6,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,2,³­È÷´Ù,26,GooglePlay,2025-07-17,0,13215
Order Complete (App),,ruby_3,11000,5,ÃòÁó,189,GooglePlay,2025-07-27,18700,2365
Order Complete (App),,ads_remove,7700,1,¿Ä¿ÄÀÌ,6,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_3,11000,5,ÃòÁó,189,GooglePlay,2025-07-27,7700,2365
Order Complete (App),,ruby_2,6600,4,ÇÏ³ªºû,149,GooglePlay,2025-07-27,11000,3171
Order Complete (App),,ads_remove,7700,1,³ë°¡´õ,21,GooglePlay,2025-07-30,0,13215
Order Complete (App),,ads_remove,7700,1,ÇöÀÌÆ¼,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,¹éÈ£Ç¥·ù±â,6,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_3,11000,1,¿ÂÀ²,36,GooglePlay,2025-07-31,7700,12056
Order Complete (App),,ruby_4,33000,4,Áø¿ì¼­¿ì,235,GooglePlay,2025-07-28,111100,1386
Order Complete (App),,ads_remove,7700,1,ahs5693,10,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,µû¸£,36,GooglePlay,2025-07-31,0,13205
Order Complete (App),,ruby_2,6600,2,roki,116,GooglePlay,2025-07-30,62700,4176
Order Complete (App),,ads_remove,7700,1,ÀÌ¾¾°¡¹®Àå³²,62,GooglePlay,2025-07-31,0,9200
Order Complete (App),,ruby_6,110000,9,Raid,562,GooglePlay,2025-07-22,2267100,7
Order Complete (App),,ruby_1,1100,12,ºñ¹ßµð,305,GooglePlay,2025-07-19,23100,193
Order Complete (App),,ruby_1,1100,12,ºñ¹ßµð,305,GooglePlay,2025-07-19,20900,193
Order Complete (App),,ruby_2,6600,3,ÃÊÀÎ°í¾çÀÌ,182,GooglePlay,2025-07-29,121000,2588
Order Complete (App),,ruby_3,11000,16,¸¸¸¶¾Óº¹,423,GooglePlay,2025-07-16,320100,35
Order Complete (App),,ads_remove,7700,1,°£µ¿¿ø,4,OneStore,2025-07-31,7700,99999999
Order Complete (App),,ruby_4,33000,14,·Îº¿,372,GooglePlay,2025-07-18,419100,62
Order Complete (App),,ads_remove,7700,1,À×¾îÅ·2,26,GooglePlay,2025-07-31,0,12285
Order Complete (App),,ruby_3,11000,13,´ë¸í,396,GooglePlay,2025-07-19,371800,43
Order Complete (App),,ruby_6,110000,9,Raid,557,GooglePlay,2025-07-22,2157100,7
Order Complete (App),,ruby_1,1100,12,ÃÊ·Ï¸Þ¶Ñ±â,290,GooglePlay,2025-07-19,110000,246
Order Complete (App),,ruby_2,6600,8,´ë³¯µÎ,225,OneStore,2024-12-05,42900,2957
Order Complete (App),,ruby_1,1100,12,ÃÊ·Ï¸Þ¶Ñ±â,290,GooglePlay,2025-07-19,108900,246
Order Complete (App),,ruby_4,33000,6,¼ÒÀÎÀº,254,GooglePlay,2025-07-26,352000,843
Order Complete (App),,ruby_4,33000,13,ÈæÃµ¿Õ,327,GooglePlay,2025-07-18,157300,139
Order Complete (App),,ads_remove,7700,1,ÈÞ°¡À»,17,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,3,ÃÊÀÎ°í¾çÀÌ,171,OneStore,2025-07-29,121000,2794
Order Complete (App),,ads_remove,7700,1,¶ó¸£,7,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,¶Ñ±î¸ÂÀ»·¡,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,15,À±°ü,329,GooglePlay,2025-07-17,100100,132
Order Complete (App),,ads_remove,7700,1,hjkgf,51,GooglePlay,2025-07-30,0,9874
Order Complete (App),,ruby_3,11000,15,±èÇÞ¹Ý,302,GooglePlay,2025-07-16,29700,198
Order Complete (App),,ruby_1,1100,3,À±¼­,94,GooglePlay,2025-07-29,7700,4870
Order Complete (App),,ruby_2,6600,3,À±¼­,94,GooglePlay,2025-07-29,0,4870
Order Complete (App),,ruby_3,11000,9,Raid,555,GooglePlay,2025-07-22,2146100,7
Order Complete (App),,ruby_3,11000,6,Å¸ÀÌ°ÅÅë,250,GooglePlay,2025-07-26,191400,971
Order Complete (App),,ruby_1,1100,1,ÀÌ¸¸³É,88,GooglePlay,2025-07-30,9900,5974
Order Complete (App),,ruby_1,1100,1,ÀÌ¸¸³É,88,GooglePlay,2025-07-30,7700,5974
Order Complete (App),,ruby_6,110000,2,½É»ó,215,GooglePlay,2025-07-30,172700,2130
Order Complete (App),,ads_remove,7700,1,cozy,7,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,Pixel,55,GooglePlay,2025-07-31,0,9446
Order Complete (App),,ruby_2,6600,9,´©³ªÁÁ¾Æ,258,GooglePlay,2025-07-22,222200,760
Order Complete (App),,ruby_4,33000,15,ÃµÈá,547,GooglePlay,2025-07-17,2266000,9
