순위,UUID,닉네임,점수,
235,b7472ed0-62df-11f0-a53e-f720860fcc8a,호요요,252,
235,8f64a9c0-6275-11f0-b831-2509b113c5f4,13453,252,
235,4a167630-6515-11f0-8350-2bfe2b1cf2f9,길길길,252,
235,3fd13ee0-620d-11f0-8954-d1ddcca9d272,엽이,252,
235,36f0a260-61ff-11f0-95cc-ad38c6ec1feb,위도리,252,
235,33d2ffd0-638d-11f0-8ad1-495afdf38cf0,몽실몽실,252,
235,23ceec40-63d6-11f0-9eff-05b5a7fdbe0a,그것이섯다,252,
235,17b3bca0-6364-11f0-97d7-efff12aed0ab,방랑자장씨,252,
235,0ae36f20-63f5-11f0-89c3-81bc4ed5aa4e,감녕,252,
249,fe4202f0-629a-11f0-bbfa-65e8ef5c7ef9,타르피아,251,
249,fd4a10d0-647b-11f0-bb5e-79bc0c4c5953,곰탕재료푸바오,251,
249,f3dceb50-6276-11f0-ba61-57b32c8fdcaa,국내산,251,
249,e18d4710-64a1-11f0-829b-d50781ca76af,지니자나,251,
249,d1c49890-62aa-11f0-bf6e-91ab11ffb732,겜빙,251,
249,8f73c790-620a-11f0-980a-396801ba63e1,네메아,251,
249,8dfa0190-6246-11f0-9ca6-b18ea4730904,뱅섭,251,
249,869c01e0-6242-11f0-a514-49ea4fb7f89a,도플라밍고,251,
249,810fd430-62bb-11f0-839f-d97137a128f6,안티왕,251,
249,72ea4a70-629d-11f0-bbfa-65e8ef5c7ef9,쿵쿵이,251,
249,620f0270-6272-11f0-b63f-7755b72aa50f,쮸니,251,
249,3f5e25f0-62b6-11f0-b038-1df969c0d9a5,나마스테미너,251,
249,3d135330-6214-11f0-abc2-914425398299,이무의,251,
249,1d768a80-62c6-11f0-a89f-3182c3b8adb5,AGW,251,
249,1d418350-626f-11f0-9eb5-cf396344702c,혁전드,251,
249,0c285ae0-6237-11f0-a73e-efd8221a47bb,개군소,251,
265,af06df50-6234-11f0-bbfd-8564365ef7ff,사철,250,
265,60567ff0-6315-11f0-a67a-173fdcafaabc,단군king1,250,
265,3f8be8d0-663c-11f0-b4ee-39fec46309cd,발직,250,
268,ffdd4730-646d-11f0-b988-07f0a97cfdc2,한방에블루스,249,
268,fd421d60-6211-11f0-9b80-6dacbd1dec23,뜨아,249,
268,f997f490-6497-11f0-aedf-55b71a55f5ce,에스카라,249,
268,d8055f20-6474-11f0-a1b2-b796bafb6345,복실,249,
268,909789f0-6371-11f0-ba6d-31d76c70e10b,연지곤지,249,
268,90123870-63e1-11f0-981c-6918ebc09e55,비련,249,
268,6a129ac0-6454-11f0-9a7f-07d3d9b1e362,화염방구,249,
268,486bc1c0-6207-11f0-980a-396801ba63e1,한국사린마,249,
268,3d3ec1a0-64d5-11f0-920f-d9bd8a2a820c,깨방,249,
268,2df20f90-634f-11f0-9145-a52c50a03179,맛탕,249,
278,dfc160e0-6255-11f0-95f0-59ccc8c1b644,종계니,248,
278,d4f2a0a0-6513-11f0-998d-6361b2224259,하리보소주맛,248,
278,d3f8f0e0-61fe-11f0-b97d-137135ff0cfe,기찰,248,
278,cbfa0800-6444-11f0-9441-5df9253b0f52,오오츠카사,248,
278,c30b3370-62b1-11f0-bf6e-91ab11ffb732,vhl,248,
278,baf848e0-63f0-11f0-990b-3fc68f8c80ee,세라라,248,
278,ababdd50-630c-11f0-b218-43a24c54b5c1,준준이,248,
278,95a9f700-64a9-11f0-a8e1-0128328b4be6,쥐돌이,248,
278,921342e0-6210-11f0-802a-01726bb91ef4,가든,248,
278,8692ed20-6653-11f0-96fa-990fd0c2f326,신우시스템,248,
278,5ebc34c1-6200-11f0-95cc-ad38c6ec1feb,펜타닐,248,
278,5b9ecaa0-631d-11f0-873a-61e5585b494a,생명,248,
278,5a5c8e70-6511-11f0-998d-6361b2224259,맑을린,248,
278,360aad90-625f-11f0-bddd-0f1b62ebaf6e,환상의분수쇼,248,
278,0e995480-622f-11f0-bbfd-8564365ef7ff,라지,248,
293,ffbe3140-63cf-11f0-aab1-5f3bbe175c3e,Lear,247,
293,f81f3a90-6313-11f0-abe8-09c261bd0e21,왕배,247,
293,f40f7300-6234-11f0-bbfd-8564365ef7ff,돼지수,247,
293,f3022b40-6240-11f0-9c23-457fcdeb3714,Spike,247,
293,e6061740-622b-11f0-b124-17ce52befe77,9잉,247,
