Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3365-1813-4377-48476,08-Aug-25,7:22:44 AM PDT,,Google fee,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,c1q,KR,,138-932,KRW,-900,1,KRW,-900,,,4.99167E+18,Yes,15,,
GPA.3365-1813-4377-48476,08-Aug-25,7:22:44 AM PDT,Third-party Tax,Tax,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,c1q,KR,,138-932,KRW,600,1,KRW,600,,,4.99167E+18,Yes,,,
GPA.3312-7419-6861-70193,08-Aug-25,7:22:55 AM PDT,,Charge,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,c1q,KR,,138-932,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3312-7419-6861-70193,08-Aug-25,7:22:55 AM PDT,,Google fee,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,c1q,KR,,138-932,KRW,-150,1,KRW,-150,,,4.99167E+18,Yes,15,,
GPA.3312-7419-6861-70193,08-Aug-25,7:22:55 AM PDT,Third-party Tax,Tax,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,c1q,KR,,138-932,KRW,100,1,KRW,100,,,4.99167E+18,Yes,,,
GPA.3357-3791-3592-50039,08-Aug-25,7:24:05 AM PDT,,Charge,,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_5,b6q,KR,서울특별시,133-791,KRW,50000,1,KRW,50000,,,4.99167E+18,Yes,,,
GPA.3357-3791-3592-50039,08-Aug-25,7:24:05 AM PDT,,Google fee,,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_5,b6q,KR,서울특별시,133-791,KRW,-7500,1,KRW,-7500,,,4.99167E+18,Yes,15,,
GPA.3357-3791-3592-50039,08-Aug-25,7:24:05 AM PDT,Third-party Tax,Tax,,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_5,b6q,KR,서울특별시,133-791,KRW,5000,1,KRW,5000,,,4.99167E+18,Yes,,,
GPA.3367-8958-2299-77801,08-Aug-25,7:24:41 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,b6q,KR,서울특별시,133-791,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3367-8958-2299-77801,08-Aug-25,7:24:41 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,b6q,KR,서울특별시,133-791,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3367-8958-2299-77801,08-Aug-25,7:24:41 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,b6q,KR,서울특별시,133-791,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3356-4022-7276-18200,08-Aug-25,7:24:57 AM PDT,,Charge,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,b6q,KR,서울특별시,133-791,KRW,6000,1,KRW,6000,,,4.99167E+18,Yes,,,
GPA.3356-4022-7276-18200,08-Aug-25,7:24:57 AM PDT,,Google fee,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,b6q,KR,서울특별시,133-791,KRW,-900,1,KRW,-900,,,4.99167E+18,Yes,15,,
GPA.3356-4022-7276-18200,08-Aug-25,7:24:57 AM PDT,Third-party Tax,Tax,,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_2,b6q,KR,서울특별시,133-791,KRW,600,1,KRW,600,,,4.99167E+18,Yes,,,
GPA.3363-9870-0096-62248,08-Aug-25,7:30:54 AM PDT,,Charge,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,e2s,KR,,63148,KRW,30000,1,KRW,30000,,,4.99167E+18,Yes,,,
GPA.3363-9870-0096-62248,08-Aug-25,7:30:54 AM PDT,,Google fee,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,e2s,KR,,63148,KRW,-4500,1,KRW,-4500,,,4.99167E+18,Yes,15,,
GPA.3363-9870-0096-62248,08-Aug-25,7:30:54 AM PDT,Third-party Tax,Tax,,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_4,e2s,KR,,63148,KRW,3000,1,KRW,3000,,,4.99167E+18,Yes,,,
GPA.3338-6365-5531-61492,08-Aug-25,7:31:05 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,e2s,KR,서울특별시,4739,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3338-6365-5531-61492,08-Aug-25,7:31:05 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,e2s,KR,서울특별시,4739,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
