Event Category,,Product ID,Product Price,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),,Sudden_Product_Hero1__0,330,3,얌보,186,57933,550,1,GooglePlay,2025-08-29,77000,5676
ItemPurchased (App),,(0)_account_Product_4__0,110,6,소쩍새,173,37384,0,1,GooglePlay,2025-08-26,47300,5649
ItemPurchased (App),,Diamond_Product__3,990,6,소쩍새,173,35384,110,1,GooglePlay,2025-08-26,47300,5649
ItemPurchased (App),,Pass_Product_2__0,550,3,얌보,183,171483,880,1,GooglePlay,2025-08-29,77000,5676
ItemPurchased (App),,Pass_Product_3__0,550,3,얌보,183,101483,1430,1,GooglePlay,2025-08-29,77000,5676
ItemPurchased (App),,account_Product_draw_4__3,3300,1,재향,286,132565,770,1,GooglePlay,2025-08-30,524700,2825
ItemPurchased (App),,Sudden_Product_Weapon__2,1100,4,후운,269,42607,1290,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Growth1__1,550,4,후운,269,313432,2390,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Hero2__0,330,4,후운,269,289432,2940,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Hero1__1,550,4,후운,269,277432,3270,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Hero2__1,550,4,후운,269,254432,3820,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Hero1__2,1100,4,후운,269,231432,4370,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Preminum_Product__2,1980,23,밥강아지,322,82878,0,1,GooglePlay,2025-08-09,27500,2018
ItemPurchased (App),,Sudden_Product_Weapon__1,550,4,후운,269,186432,5470,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Hero2__2,1100,4,후운,269,162432,6020,1,GooglePlay,2025-08-27,403700,3070
ItemPurchased (App),,Sudden_Product_Growth1__1,550,1,재향,271,45015,4070,1,GooglePlay,2025-08-30,524700,3855
ItemPurchased (App),,(0)_account_Product_6__0,110,2,정상화,120,23605,0,1,GooglePlay,2025-08-30,11000,7548
ItemPurchased (App),,account_Product_draw_1__1,110,2,정상화,120,23605,0,1,GooglePlay,2025-08-30,9900,7548
ItemPurchased (App),,Pass_Product_3__1,770,1,재향,271,208290,4620,1,GooglePlay,2025-08-30,524700,3855
ItemPurchased (App),,Sudden_Product_Weapon__1,550,1,재향,271,107990,5390,1,GooglePlay,2025-08-30,524700,3855
ItemPurchased (App),,Sudden_Product_Research__9,3300,44,화염방구,547,19857,0,1,GooglePlay,2025-07-19,660000,63
ItemPurchased (App),,Sudden_Product_Armor__0,330,1,재향,270,159940,5940,1,GooglePlay,2025-08-30,524700,3855
ItemPurchased (App),,account_Product_draw_1__2,550,1,재향,270,148440,6270,1,GooglePlay,2025-08-30,524700,3855
ItemPurchased (App),,account_Product_draw_0__2,550,1,재향,270,128440,6820,1,GooglePlay,2025-08-30,524700,3855
