Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_4,33000,20,자냔민,306,4630,260,1,GooglePlay,2025-08-07,80300,2091
Order Complete (App),,ruby_5,55000,37,나류토,370,19896,0,1,GooglePlay,2025-07-22,139700,921
Order Complete (App),,ruby_3,11000,2,김희열,35,26524,2200,1,GooglePlay,2025-08-27,22000,16760
Order Complete (App),,ruby_3,11000,2,김희열,35,26524,0,1,GooglePlay,2025-08-27,0,16760
Order Complete (App),,ruby_3,11000,4,무진e,187,7105,0,1,GooglePlay,2025-08-25,75900,5249
Order Complete (App),,ruby_2,6600,20,자냔민,305,5330,6160,1,GooglePlay,2025-08-07,80300,2091
Order Complete (App),,ruby_5,55000,20,자냔민,305,5330,0,1,GooglePlay,2025-08-07,18700,2091
Order Complete (App),,ruby_3,11000,2,혼천마,56,303120,110,1,GooglePlay,2025-08-27,14300,12666
Order Complete (App),,ruby_3,11000,20,자냔민,305,14930,0,1,GooglePlay,2025-08-07,7700,2091
Order Complete (App),,ruby_6,110000,42,KIRA,1092,182856,150,1,GooglePlay,2025-07-18,10897700,1
Order Complete (App),,ruby_2,6600,40,쉬밤꺼,528,4368,3960,1,GooglePlay,2025-07-19,1339800,68
Order Complete (App),,ruby_4,33000,40,쉬밤꺼,528,4368,0,1,GooglePlay,2025-07-19,1300200,68
Order Complete (App),,ruby_2,6600,2,혼천마,55,257704,0,1,GooglePlay,2025-08-27,7700,16413
Order Complete (App),,ruby_1,1100,2,physis,26,178265,770,1,GooglePlay,2025-08-26,7700,18457
Order Complete (App),,ruby_2,6600,2,physis,26,178265,0,1,GooglePlay,2025-08-26,0,18457
Order Complete (App),,ads_remove,7700,1,맹덕맹덕,7,18000,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_1,1100,2,라임보드카,24,238171,770,1,GooglePlay,2025-08-27,7700,18884
Order Complete (App),,ruby_1,1100,34,하온왕자,367,17981,110,1,OneStore,2025-07-26,8800,1001
Order Complete (App),,ruby_2,6600,2,라임보드카,24,238171,0,1,GooglePlay,2025-08-27,0,18884
Order Complete (App),,ruby_3,11000,34,찹쌀누룽지,370,13473,220,1,GooglePlay,2025-07-25,84700,912
Order Complete (App),,ruby_1,1100,31,무우사무휼,367,30334,330,1,GooglePlay,2025-07-29,28600,1001
Order Complete (App),,ruby_1,1100,31,무우사무휼,367,30334,220,1,GooglePlay,2025-07-29,27500,1001
Order Complete (App),,ruby_1,1100,31,무우사무휼,367,30334,0,1,GooglePlay,2025-07-29,25300,1001
Order Complete (App),,ads_remove,7700,2,바몬드카레,37,218354,0,1,GooglePlay,2025-08-27,0,16492
Order Complete (App),,ruby_2,6600,40,태굥,443,1975,330,1,GooglePlay,2025-07-19,163900,194
Order Complete (App),,ruby_6,110000,31,암부,928,723396,2580,1,GooglePlay,2025-07-29,5837700,3
Order Complete (App),,ruby_3,11000,43,은월랑,564,5698,220,1,GooglePlay,2025-07-17,1559800,36
Order Complete (App),,ruby_2,6600,43,은월랑,564,11798,110,1,GooglePlay,2025-07-17,1553200,36
Order Complete (App),,ruby_2,6600,3,포은선생,66,198119,2310,1,GooglePlay,2025-08-26,42900,11192
Order Complete (App),,ruby_3,11000,3,포은선생,66,198119,550,1,GooglePlay,2025-08-26,25300,11192
Order Complete (App),,ruby_3,11000,3,포은선생,66,174619,0,1,GooglePlay,2025-08-26,14300,11192
Order Complete (App),,ruby_2,6600,3,포은선생,66,259819,0,1,GooglePlay,2025-08-26,7700,11191
