"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-03-15 13:50:03"",""UserUUID"":""8aa0a270-7e3e-11ef-bd39-7ddaa3b45b16"",""a_attendance_count"":533,""a_user_name"":""희린"",""a_user_stage"":1540,""b.diamond"":10515,""b.ruby"":0,""boxAllCount"":63900,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-09-29"",""total_payment_amount"":816800,""user_rank"":29}"
"Order Complete (App)","{""Time"":""2026-03-15 13:38:14"",""UserUUID"":""0a0fee80-201e-11f1-9d55-0342610fb499"",""a_attendance_count"":1,""a_user_name"":""민재미니"",""a_user_stage"":51,""b.diamond"":8636,""b.ruby"":0,""boxAllCount"":150,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":14056}"
"Order Complete (App)","{""Time"":""2026-03-15 13:37:31"",""UserUUID"":""8aa0a270-7e3e-11ef-bd39-7ddaa3b45b16"",""a_attendance_count"":533,""a_user_name"":""희린"",""a_user_stage"":1540,""b.diamond"":9965,""b.ruby"":0,""boxAllCount"":63900,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-09-29"",""total_payment_amount"":783800,""user_rank"":29}"
"Order Complete (App)","{""Time"":""2026-03-15 13:08:28"",""UserUUID"":""4ac921b0-112a-11f1-bc0e-0dde8ceb9044"",""a_attendance_count"":20,""a_user_name"":""로열패밀리"",""a_user_stage"":327,""b.diamond"":149299,""b.ruby"":0,""boxAllCount"":6390,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-24"",""total_payment_amount"":36300,""user_rank"":4308}"
"Order Complete (App)","{""Time"":""2026-03-15 12:42:30"",""UserUUID"":""2233bf20-eaa7-11f0-a963-27d225e76a0a"",""a_attendance_count"":69,""a_user_name"":""핸배"",""a_user_stage"":1037,""b.diamond"":156305,""b.ruby"":12320,""boxAllCount"":14380,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-06"",""total_payment_amount"":1785300,""user_rank"":585}"
"Order Complete (App)","{""Time"":""2026-03-15 12:41:19"",""UserUUID"":""4ac921b0-112a-11f1-bc0e-0dde8ceb9044"",""a_attendance_count"":20,""a_user_name"":""로열패밀리"",""a_user_stage"":309,""b.diamond"":169849,""b.ruby"":0,""boxAllCount"":6390,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-24"",""total_payment_amount"":25300,""user_rank"":4308}"
"Order Complete (App)","{""Time"":""2026-03-15 12:34:00"",""UserUUID"":""2233bf20-eaa7-11f0-a963-27d225e76a0a"",""a_attendance_count"":69,""a_user_name"":""핸배"",""a_user_stage"":1010,""b.diamond"":97305,""b.ruby"":15620,""boxAllCount"":14380,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-06"",""total_payment_amount"":1785300,""user_rank"":585}"
"Order Complete (App)","{""Time"":""2026-03-15 11:57:21"",""UserUUID"":""2233bf20-eaa7-11f0-a963-27d225e76a0a"",""a_attendance_count"":69,""a_user_name"":""핸배"",""a_user_stage"":1009,""b.diamond"":96297,""b.ruby"":1320,""boxAllCount"":14380,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-06"",""total_payment_amount"":1642300,""user_rank"":585}"
"Order Complete (App)","{""Time"":""2026-03-15 12:12:40"",""UserUUID"":""88639be0-d598-11f0-951e-1d77575ad5dc"",""a_attendance_count"":96,""a_user_name"":""우루랑"",""a_user_stage"":866,""b.diamond"":226387,""b.ruby"":0,""boxAllCount"":9650,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-10"",""total_payment_amount"":836000,""user_rank"":905}"
"Order Complete (App)","{""Time"":""2026-03-15 12:07:15"",""UserUUID"":""989a3750-1e70-11f1-bac4-4142090ebddd"",""a_attendance_count"":3,""a_user_name"":""삥구"",""a_user_stage"":176,""b.diamond"":2068,""b.ruby"":0,""boxAllCount"":3570,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":14300,""user_rank"":7206}"
"Order Complete (App)","{""Time"":""2026-03-15 11:45:25"",""UserUUID"":""c1e1adc0-1e91-11f1-9b70-cb636334fcf5"",""a_attendance_count"":3,""a_user_name"":""김코인"",""a_user_stage"":122,""b.diamond"":15394,""b.ruby"":0,""boxAllCount"":2460,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":52800,""user_rank"":8159}"
"Order Complete (App)","{""Time"":""2026-03-15 11:42:42"",""UserUUID"":""99b76b60-2016-11f1-879f-c96b48c8da63"",""a_attendance_count"":1,""a_user_name"":""빠순"",""a_user_stage"":8,""b.diamond"":1000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-03-15 11:33:45"",""UserUUID"":""4504d530-2016-11f1-80dc-c568e0fd9fc2"",""a_attendance_count"":1,""a_user_name"":""난세표류기2"",""a_user_stage"":7,""b.diamond"":15000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-03-15 11:29:51"",""UserUUID"":""c1e1adc0-1e91-11f1-9b70-cb636334fcf5"",""a_attendance_count"":3,""a_user_name"":""김코인"",""a_user_stage"":119,""b.diamond"":20517,""b.ruby"":440,""boxAllCount"":2460,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":51700,""user_rank"":8159}"
"Order Complete (App)","{""Time"":""2026-03-15 11:27:33"",""UserUUID"":""93210980-17a3-11f1-be94-81dcab3dbf77"",""a_attendance_count"":12,""a_user_name"":""참크"",""a_user_stage"":242,""b.diamond"":7952,""b.ruby"":0,""boxAllCount"":9290,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-04"",""total_payment_amount"":18700,""user_rank"":5899}"
"Order Complete (App)","{""Time"":""2026-03-15 11:20:08"",""UserUUID"":""c1e1adc0-1e91-11f1-9b70-cb636334fcf5"",""a_attendance_count"":3,""a_user_name"":""김코인"",""a_user_stage"":118,""b.diamond"":5742,""b.ruby"":330,""boxAllCount"":2430,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":40700,""user_rank"":8247}"
"Order Complete (App)","{""Time"":""2026-03-15 11:03:39"",""UserUUID"":""ee5eaf80-1e6c-11f1-9100-6f63db8ef650"",""a_attendance_count"":3,""a_user_name"":""안똘"",""a_user_stage"":189,""b.diamond"":5379,""b.ruby"":220,""boxAllCount"":3820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":112200,""user_rank"":6848}"
