순위,UUID,닉네임,점수,추가 항목
287,d1c49890-62aa-11f0-bf6e-91ab11ffb732,겜빙,286,4
287,cce579c0-62e1-11f0-971e-0d9306189309,떨구,286,4
287,c4ff87d0-624d-11f0-807b-b56290a6427d,몽수,286,4
287,c383b080-623d-11f0-9b9e-13c7a7dd6c88,수림,286,4
287,bb9528c0-637a-11f0-8b36-5752c058936c,kwr9458,286,4
287,baf848e0-63f0-11f0-990b-3fc68f8c80ee,세라라,286,4
287,b35181b0-64ef-11f0-998d-6361b2224259,초록메뚜기,286,4
287,b1d74ae0-62d8-11f0-9cbc-05ebba638e55,뿅망키,286,4
287,a9853b10-6380-11f0-a716-97e6f4eb8e7d,텐프로,286,4
287,9dfb1b30-623a-11f0-8ed7-4f4ea466921e,내가구운와플,286,4
287,96443bd0-61e3-11f0-a92b-d5d01d6ffba8,골덕,286,4
287,921342e0-6210-11f0-802a-01726bb91ef4,가든,286,4
287,82500140-656c-11f0-90e8-49468324a8de,코코봉봉,286,4
287,810fd430-62bb-11f0-839f-d97137a128f6,안티왕,286,4
287,79ae70d0-6201-11f0-b97d-137135ff0cfe,지비니,286,4
287,6a7e48b0-6242-11f0-a33f-f73020b95b05,검계수장,286,4
287,5a5c8e70-6511-11f0-998d-6361b2224259,맑을린,286,4
287,58c36410-63a1-11f0-8ad1-495afdf38cf0,차우우차,286,4
287,58354fb0-63b3-11f0-9b10-25f9ca8a7a53,넘어가,286,4
287,5807d420-6310-11f0-a53e-f720860fcc8a,그래도살아야지,286,4
287,4b71d490-6522-11f0-a092-cfb4e8946e57,랑방,286,4
287,45dc9060-6441-11f0-bb35-df6429295e24,신비로운다람쥐,286,4
287,43ef9440-6640-11f0-b4ee-39fec46309cd,허요허요,286,4
287,3fccca00-6329-11f0-8900-17942e280829,비령,286,4
287,3f5e25f0-62b6-11f0-b038-1df969c0d9a5,나마스테미너,286,4
287,36f76590-65e3-11f0-b7e1-0fe84bf8cf7a,기린아,286,4
287,3607ee90-65b9-11f0-9407-ad72116e5fac,애플청포도,286,4
287,32230250-65b0-11f0-8b44-3ff58a49da64,듀랜달,286,4
287,317a8ec0-652b-11f0-8799-a56030339d38,블랙닥터,286,4
287,1ed8be80-6306-11f0-a53e-f720860fcc8a,PNPRS,286,4
